Assumption,Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate
Historical,1960,5.5,1.9,1.7,2.6,2.9,0.9
Historical,1961,6.7,1.1,0,2.6,3.8,1.9
Historical,1962,5.6,0.2,1.8,6.1,3.9,2.8
Historical,1963,5.6,1.7,1.4,4.4,3.9,2.5
Historical,1964,5.2,1.8,2.2,5.8,4.1,2.6
Historical,1965,4.5,1.8,2.4,6.5,4.2,2.5
Historical,1966,3.8,1.8,3,6.6,4.9,1.4
Historical,1967,3.8,2.1,2.4,2.7,5,1.9
Historical,1968,3.6,1.8,2.1,4.9,5.5,0.8
Historical,1969,3.5,2.5,2.4,3.1,6.6,0.1
Historical,1970,5,2.6,0.6,0.2,7.3,1
Historical,1971,6,1.9,0.4,3.3,6,2.9
Historical,1972,5.6,3.1,2.9,5.3,5.9,2.5
Historical,1973,4.9,2.8,3.3,5.6,6.6,-0.2
Historical,1974,5.6,2.9,1.9,-0.5,7.5,-3.8
Historical,1975,8.5,2,-1.1,-0.2,7.4,-1.3
Historical,1976,7.7,2.5,3.3,5.4,7.1,1.7
Historical,1977,7.1,2.9,3.6,4.6,7.1,0.8
Historical,1978,6.1,3.3,4.3,5.5,8.2,-0.5
Historical,1979,5.9,2.7,2.8,3.2,9.1,-2.8
Historical,1980,7.2,1.9,0.5,-0.3,11,-3.6
Historical,1981,7.6,1.6,1.1,2.5,13.3,1
Historical,1982,9.7,1.4,-0.8,-1.8,12.8,7.3
Historical,1983,9.6,1.2,1.3,4.6,11,9.9
Historical,1984,7.5,1.8,4.1,7.2,12.4,7.6
Historical,1985,7.2,1.7,2,4.2,10.8,9
Historical,1986,7,2.1,2.2,3.5,8,9.3
Historical,1987,6.2,1.7,2.5,3.5,8.4,4.4
Historical,1988,5.5,1.5,2.2,4.2,8.8,4.4
Historical,1989,5.3,1.8,2,3.7,8.7,4
Historical,1990,5.6,1.6,1.2,1.9,8.6,3.4
Historical,1991,6.9,0.4,-0.9,-0.1,8,4.5
Historical,1992,7.5,1.4,0.5,3.5,7.1,5.1
Historical,1993,6.9,0.8,1.3,2.8,6.1,4.3
Historical,1994,6.1,1.4,2.2,4,7.1,3.6
Historical,1995,5.6,1,1.4,2.7,6.9,4.2
Historical,1996,5.4,1.2,1.4,3.8,6.6,4
Historical,1997,4.9,1.8,2.2,4.4,6.6,4.3
Historical,1998,4.5,1,1.4,4.5,5.6,5.3
Historical,1999,4.2,1.2,1.5,4.8,5.9,3.4
Historical,2000,4,2.3,2.5,4.1,6.2,2.4
Historical,2001,4.7,0.8,0,1,5.2,3.5
Historical,2002,5.8,0.8,-0.3,1.7,4.9,3.9
Historical,2003,6,1.1,1,2.8,4.1,2.6
Historical,2004,5.5,0.6,1.1,3.8,4.3,1.5
Historical,2005,5.1,1.3,1.7,3.5,4.3,0.8
Historical,2006,4.6,1.4,1.8,2.8,4.8,1.1
Historical,2007,4.6,1.1,1.1,2,4.7,1.9
Historical,2008,5.8,0.8,-0.4,0.1,3.6,0.6
Historical,2009,9.3,-0.1,-3.7,-2.6,2.9,4.4
Historical,2010,9.6,-0.2,-0.6,2.7,2.8,0.9
Historical,2011,8.9,-0.2,0.6,1.6,2.4,-0.7
Historical,2012,8.1,0.9,1.8,2.3,1.5,0.3
Historical,2013,7.4,0.3,1,2.1,1.9,0.1
Historical,2014,6.2,0.3,1.6,2.5,2.3,0.4
Historical,2015,5.3,0.8,1.7,2.9,2,2.7
Historical,2016,4.9,1.3,1.7,1.8,1.8,1
Historical,2017,4.4,0.7,1.2,2.5,2.3,-0.3
Historical,2018,3.9,1.1,1.6,3,2.9,-0.2
Historical,2019,3.7,0.9,1.1,2.6,2.2,1.2
Historical,2020,8.1,-1.7,-6.2,-2.2,1,1
Historical,2021,5.4,0.3,3.2,6.1,1.4,-4.1
Historical,2022,3.6,1.9,3.7,2.5,3,-6.5
Historical,2023,3.6,1.7,1.7,2.9,4.1,-0.8
Historical,2024,4.1,0.7,0.3,2.8,4.3,1.3
Intermediate,2025,4.4,1.3,0.9,2.3,4.2,1.8
Intermediate,2026,4.5,0.9,0.8,2.1,4.1,1.7
Intermediate,2027,4.5,0.8,0.7,2,4.1,1.7
Intermediate,2028,4.5,0.7,0.7,2.1,4.1,1.7
Intermediate,2029,4.5,0.7,0.7,2.1,4.1,1.7
Intermediate,2030,4.5,0.5,0.5,2,4.1,1.7
Intermediate,2031,4.5,0.4,0.4,2,4.1,1.7
Intermediate,2032,4.5,0.4,0.4,2,4.1,1.7
Intermediate,2033,4.5,0.4,0.4,2,4.1,1.7
Intermediate,2034,4.5,0.3,0.3,1.9,4.1,1.7
Intermediate,2035,4.5,0.3,0.3,1.9,4.3,1.7
Intermediate,2036,4.5,0.3,0.3,1.9,4.4,1.9
Intermediate,2037,4.5,0.3,0.3,1.9,4.5,2
Intermediate,2038,4.5,0.3,0.3,1.9,4.5,2.1
Intermediate,2039,4.5,0.3,0.3,1.9,4.6,2.1
Intermediate,2040,4.5,0.3,0.3,1.9,4.6,2.2
Intermediate,2041,4.5,0.3,0.3,1.8,4.7,2.2
Intermediate,2042,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2043,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2044,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2045,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2046,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2047,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2048,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2049,4.5,0.3,0.2,1.8,4.7,2.3
Intermediate,2050,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2051,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2052,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2053,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2054,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2055,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2056,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2057,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2058,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2059,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2060,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2061,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2062,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2063,4.5,0.3,0.3,1.9,4.7,2.3
Intermediate,2064,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2065,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2066,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2067,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2068,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2069,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2070,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2071,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2072,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2073,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2074,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2075,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2076,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2077,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2078,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2079,4.5,0.2,0.2,1.8,4.7,2.3
Intermediate,2080,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2081,4.5,0.3,0.3,1.8,4.7,2.3
Intermediate,2082,4.5,0.3,0.3,1.9,4.7,2.3
