Year,Assumption,Covered workers,OASI Beneficiaries,DI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers
1945,Historical,46390,1106,—,1106,41.9,2
1946,Historical,48845,1502,—,1502,32.5,3
1947,Historical,48908,1832,—,1832,26.7,4
1948,Historical,49018,2163,—,2163,22.7,4
1949,Historical,46800,2554,—,2554,18.3,5
1950,Historical,48280,2930,—,2930,16.5,6
1951,Historical,57933,4034,—,4034,14.4,7
1952,Historical,59526,4594,—,4594,13,8
1953,Historical,60554,5574,—,5574,10.9,9
1954,Historical,59395,6469,—,6469,9.2,11
1955,Historical,65066,7564,—,7564,8.6,12
1956,Historical,67595,8374,—,8374,8.1,12
1957,Historical,70679,10342,—,10342,6.8,15
1958,Historical,69826,11705,200,11905,5.9,17
1959,Historical,71432,12820,361,13181,5.4,18
1960,Historical,72371,13740,522,14262,5.1,20
1961,Historical,72599,14726,898,15624,4.6,22
1962,Historical,74190,16129,1152,17280,4.3,23
1963,Historical,75454,17226,1382,18608,4.1,25
1964,Historical,77400,17954,1516,19470,4,25
1965,Historical,80539,18509,1648,20157,4,25
1966,Historical,84596,19851,1887,21737,3.9,26
1967,Historical,86636,20419,2060,22479,3.9,26
1968,Historical,89440,21161,2258,23419,3.8,26
1969,Historical,92382,21836,2407,24243,3.8,26
1970,Historical,92963,22618,2568,25186,3.7,27
1971,Historical,93155,23415,2788,26203,3.6,28
1972,Historical,96087,24308,3091,27399,3.5,29
1973,Historical,99771,25273,3416,28690,3.5,29
1974,Historical,101212,26218,3691,29909,3.4,30
1975,Historical,100193,26998,4125,31123,3.2,31
1976,Historical,102792,27739,4533,32272,3.2,31
1977,Historical,105953,28429,4733,33161,3.2,31
1978,Historical,109432,29063,4861,33924,3.2,31
1979,Historical,112069,29789,4826,34615,3.2,31
1980,Historical,112651,30384,4734,35117,3.2,31
1981,Historical,112949,31073,4636,35709,3.2,32
1982,Historical,111445,31207,4184,35391,3.1,32
1983,Historical,112525,31833,3893,35726,3.1,32
1984,Historical,116888,32238,3789,36026,3.2,31
1985,Historical,120438,32763,3874,36636,3.3,30
1986,Historical,122932,33346,3972,37318,3.3,30
1987,Historical,125969,33914,4034,37948,3.3,30
1988,Historical,129763,34336,4077,38413,3.4,30
1989,Historical,132010,34741,4105,38846,3.4,29
1990,Historical,133005,35255,4204,39459,3.4,30
1991,Historical,132418,35773,4388,40161,3.3,30
1992,Historical,133344,36299,4716,41014,3.3,31
1993,Historical,135539,36743,5083,41826,3.2,31
1994,Historical,138533,37070,5435,42504,3.3,31
1995,Historical,140800,37364,5731,43096,3.3,31
1996,Historical,143251,37509,5977,43486,3.3,30
1997,Historical,146101,37696,6087,43783,3.3,30
1998,Historical,149077,37818,6250,44068,3.4,30
1999,Historical,151805,37926,6433,44359,3.4,29
2000,Historical,154707,38556,6606,45162,3.4,29
2001,Historical,155129,38888,6780,45668,3.4,29
2002,Historical,154563,39117,7060,46176,3.3,30
2003,Historical,154789,39315,7438,46753,3.3,30
2004,Historical,156582,39558,7810,47368,3.3,30
2005,Historical,159035,39961,8172,48133,3.3,30
2006,Historical,161572,40435,8428,48863,3.3,30
2007,Historical,163331,40863,8739,49603,3.3,30
2008,Historical,162693,41355,9065,50420,3.2,31
2009,Historical,157684,42385,9475,51860,3,33
2010,Historical,157054,43440,9958,53398,2.9,34
2011,Historical,158591,44388,10428,54816,2.9,35
2012,Historical,160743,45377,10799,56176,2.9,35
2013,Historical,163056,46517,10954,57471,2.8,35
2014,Historical,165416,47603,10971,58574,2.8,35
2015,Historical,168123,48663,10881,59543,2.8,35
2016,Historical,170614,49811,10728,60539,2.8,35
2017,Historical,172692,50962,10517,61480,2.8,36
2018,Historical,175102,52168,10296,62464,2.8,36
2019,Historical,177024,53508,10063,63570,2.8,36
2020,Historical,175244,54843,9844,64686,2.7,37
2021,Historical,176995,55546,9486,65032,2.7,37
2022,Historical,181099,56544,9070,65614,2.8,36
2023,Historical,182689,57924,8707,66631,2.7,36
2024,Historical,183936,59556,8312,67868,2.7,37
Intermediate:,Intermediate,,,,,,
2025,Intermediate,185251,61259,8317,69575,2.7,38
2026,Intermediate,186304,62894,8491,71385,2.6,38
2027,Intermediate,187125,64240,8705,72944,2.6,39
2028,Intermediate,187903,65675,8794,74469,2.5,40
2029,Intermediate,188738,66991,8803,75794,2.5,40
2030,Intermediate,189406,68219,8765,76985,2.5,41
2031,Intermediate,189958,69360,8748,78108,2.4,41
2032,Intermediate,190509,70367,8762,79128,2.4,42
2033,Intermediate,190994,71243,8812,80055,2.4,42
2034,Intermediate,191387,72004,8877,80881,2.4,42
2035,Intermediate,191744,72691,9038,81728,2.3,43
2036,Intermediate,192072,73328,9132,82460,2.3,43
2037,Intermediate,192340,73918,9216,83134,2.3,43
2038,Intermediate,192639,74437,9309,83746,2.3,43
2039,Intermediate,192858,74854,9438,84293,2.3,44
2040,Intermediate,193113,75178,9599,84777,2.3,44
2041,Intermediate,193386,75428,9774,85202,2.3,44
2042,Intermediate,193689,75636,9956,85592,2.3,44
2043,Intermediate,194007,75838,10144,85982,2.3,44
2044,Intermediate,194389,76055,10324,86379,2.3,44
2045,Intermediate,194800,76268,10492,86761,2.2,45
2046,Intermediate,195218,76479,10648,87127,2.2,45
2047,Intermediate,195678,76734,10783,87517,2.2,45
2048,Intermediate,196150,77022,10908,87930,2.2,45
2049,Intermediate,196629,77338,11027,88366,2.2,45
2050,Intermediate,197170,77667,11141,88808,2.2,45
2051,Intermediate,197708,77997,11254,89251,2.2,45
2052,Intermediate,198269,78381,11356,89737,2.2,45
2053,Intermediate,198872,78816,11449,90264,2.2,45
2054,Intermediate,199474,79280,11535,90816,2.2,46
2055,Intermediate,200084,79799,11606,91405,2.2,46
2056,Intermediate,200720,80370,11655,92024,2.2,46
2057,Intermediate,201341,80991,11680,92670,2.2,46
2058,Intermediate,201947,81637,11692,93328,2.2,46
2059,Intermediate,202569,82275,11704,93979,2.2,46
2060,Intermediate,203185,82903,11718,94621,2.1,47
2061,Intermediate,203792,83510,11739,95249,2.1,47
2062,Intermediate,204391,84101,11766,95867,2.1,47
2063,Intermediate,204965,84682,11797,96479,2.1,47
2064,Intermediate,205509,85247,11832,97079,2.1,47
2065,Intermediate,206041,85815,11865,97680,2.1,47
2066,Intermediate,206560,86395,11894,98289,2.1,48
2067,Intermediate,207059,86987,11916,98902,2.1,48
2068,Intermediate,207550,87589,11934,99523,2.1,48
2069,Intermediate,208015,88194,11956,100150,2.1,48
2070,Intermediate,208457,88812,11974,100787,2.1,48
2071,Intermediate,208909,89429,11986,101415,2.1,49
2072,Intermediate,209350,90034,11994,102027,2.1,49
2073,Intermediate,209784,90639,11990,102629,2,49
2074,Intermediate,210220,91239,11973,103213,2,49
2075,Intermediate,210673,91814,11952,103766,2,49
2076,Intermediate,211129,92332,11942,104274,2,49
2077,Intermediate,211586,92801,11945,104745,2,50
2078,Intermediate,212074,93224,11954,105178,2,50
2079,Intermediate,212597,93596,11969,105565,2,50
2080,Intermediate,213152,93927,11984,105912,2,50
2081,Intermediate,213721,94225,11997,106222,2,50
2082,Intermediate,214329,94490,12006,106496,2,50
2083,Intermediate,214972,94715,12018,106733,2,50
2084,Intermediate,215628,94886,12041,106927,2,50
2085,Intermediate,216310,94999,12079,107078,2,50
2086,Intermediate,217018,95063,12130,107193,2,49
2087,Intermediate,217765,95081,12201,107282,2,49
2088,Intermediate,218539,95069,12287,107356,2,49
2089,Intermediate,219338,95056,12379,107435,2,49
2090,Intermediate,220158,95044,12478,107522,2,49
2091,Intermediate,220989,95048,12580,107629,2.1,49
2092,Intermediate,221838,95091,12682,107773,2.1,49
2093,Intermediate,222689,95181,12779,107960,2.1,48
2094,Intermediate,223538,95311,12872,108183,2.1,48
2095,Intermediate,224383,95485,12959,108444,2.1,48
2096,Intermediate,225221,95703,13042,108745,2.1,48
2097,Intermediate,226049,95960,13120,109080,2.1,48
2098,Intermediate,226863,96262,13194,109455,2.1,48
2099,Intermediate,227663,96606,13262,109868,2.1,48
2100,Intermediate,228446,96987,13326,110313,2.1,48
Low-cost:,Low-cost,,,,,,
2025,Low-cost,187069,61232,8274,69506,2.7,37
2026,Low-cost,189460,62822,8340,71162,2.7,38
2027,Low-cost,190955,64119,8417,72537,2.6,38
2028,Low-cost,192048,65495,8366,73860,2.6,38
2029,Low-cost,192778,66744,8244,74988,2.6,39
2030,Low-cost,193530,67898,8083,75981,2.5,39
2031,Low-cost,194341,68956,7944,76900,2.5,40
2032,Low-cost,195121,69872,7845,77717,2.5,40
2033,Low-cost,195806,70652,7786,78439,2.5,40
2034,Low-cost,196396,71311,7748,79059,2.5,40
2035,Low-cost,196962,71859,7768,79626,2.5,40
2036,Low-cost,197503,72339,7756,80095,2.5,41
2037,Low-cost,197958,72763,7745,80509,2.5,41
2038,Low-cost,198444,73117,7751,80868,2.5,41
2039,Low-cost,198854,73371,7796,81168,2.4,41
2040,Low-cost,199284,73537,7875,81412,2.4,41
2041,Low-cost,199759,73638,7973,81611,2.4,41
2042,Low-cost,200291,73705,8083,81788,2.4,41
2043,Low-cost,200876,73760,8203,81963,2.5,41
