Year,Assumption,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)"
1940,Historical,2.23,1919.8,750.1,9718.8
1941,Historical,2.33,1836.5,726.1,9240.1
1942,Historical,2.55,1776.7,703,8935.3
1943,Historical,2.64,1852.8,708.8,9479.8
1944,Historical,2.49,1763.8,685.6,8952.5
1945,Historical,2.42,1716.6,674.8,8662.9
1946,Historical,2.86,1664.4,641.2,8485.9
1947,Historical,3.18,1668.3,619,8663.7
1948,Historical,3.03,1633,604.8,8488.3
1949,Historical,3.04,1583.3,585.3,8237.3
1950,Historical,3.03,1561.9,570.2,8173.7
1951,Historical,3.2,1548.4,565.5,8101.4
1952,Historical,3.29,1518.8,558.8,7919.5
1953,Historical,3.35,1510.5,545.5,7944.7
1954,Historical,3.46,1433.4,514.9,7557.2
1955,Historical,3.5,1453.8,508.2,7758.4
1956,Historical,3.6,1455.4,506.8,7780.4
1957,Historical,3.68,1481.6,516.6,7916
1958,Historical,3.63,1467.9,506.1,7880.1
1959,Historical,3.64,1440.8,499.2,7719.3
1960,Historical,3.61,1454.3,503.2,7795.6
1961,Historical,3.56,1421,488,7642
1962,Historical,3.42,1448.3,493.7,7813.3
1963,Historical,3.3,1472.7,501.3,7949.1
1964,Historical,3.17,1426,496.5,7622.9
1965,Historical,2.88,1428.8,495.2,7653.9
1966,Historical,2.67,1431.5,497.1,7661.5
1967,Historical,2.53,1393.5,488.5,7427.4
1968,Historical,2.43,1429.1,500.6,7620.1
1969,Historical,2.42,1383.9,491.3,7334.8
1970,Historical,2.43,1350.2,485.8,7113.9
1971,Historical,2.25,1343.7,472.5,7152.4
1972,Historical,1.99,1337.4,469.8,7122.1
1973,Historical,1.86,1320.2,462.5,7038.6
1974,Historical,1.82,1264.3,443.2,6738.8
1975,Historical,1.77,1214.2,426.2,6467.8
1976,Historical,1.74,1205.2,415.7,6469.1
1977,Historical,1.8,1168.9,405.1,6261.1
1978,Historical,1.76,1165.9,398,6285.6
1979,Historical,1.82,1125,385.4,6056
1980,Historical,1.82,1145.2,383.9,6221.5
1981,Historical,1.8,1113.7,374.4,6042.6
1982,Historical,1.81,1079.2,362.5,5857.6
1983,Historical,1.78,1092.9,357.4,5996.5
1984,Historical,1.79,1084,353.6,5953.5
1985,Historical,1.83,1088.6,352.8,5994.7
1986,Historical,1.83,1077.1,350.1,5924.3
1987,Historical,1.86,1066.2,346.8,5862.5
1988,Historical,1.92,1077,346.3,5948.6
1989,Historical,2,1046,340,5753.1
1990,Historical,2.07,1026.2,333.3,5646
1991,Historical,2.06,1011.6,329.1,5562
1992,Historical,2.04,997,322.4,5494.7
1993,Historical,2.02,1020.9,325.8,5655.1
1994,Historical,2,1007.5,322.1,5577.8
1995,Historical,1.98,1005,318.3,5582.9
1996,Historical,1.98,990.3,306.5,5549.5
1997,Historical,1.97,975.5,293.8,5520.5
1998,Historical,2,967.9,286.6,5510.3
1999,Historical,2.01,974.3,284.2,5575.3
2000,Historical,2.05,964.1,281.4,5515.8
2001,Historical,2.03,954,280.2,5445.9
2002,Historical,2.03,950,279.3,5421.9
2003,Historical,2.05,936,278,5323.1
2004,Historical,2.06,901.4,270.2,5109.7
2005,Historical,2.06,903.7,271.1,5121.7
2006,Historical,2.11,880.1,267.4,4965.2
2007,Historical,2.12,859.3,261.7,4843.9
2008,Historical,2.07,859.8,258.9,4866.8
2009,Historical,2,828.3,255.4,4647.9
2010,Historical,1.93,821.5,248.5,4641.9
2011,Historical,1.89,820.5,248.6,4633.9
2012,Historical,1.87,811.7,247.5,4573.4
2013,Historical,1.85,812.4,248,4575.7
2014,Historical,1.86,803.8,249.7,4498
2015,Historical,1.84,813.7,253,4552
2016,Historical,1.81,805.9,258,4458.7
2017,Historical,1.76,810.4,258.2,4492
2018,Historical,1.73,801.8,254.7,4449.5
2019,Historical,1.7,789.5,253.2,4365.3
