Year,Assumption,Gender,Life Expectancy at Birth,Life Expectancy at Age 65
1940,Historical,Female,65.7,13.4
1940,Historical,Male,61.4,11.9
1941,Historical,Female,66.5,13.8
1941,Historical,Male,61.9,12.2
1942,Historical,Female,67.4,14.1
1942,Historical,Male,62.6,12.4
1943,Historical,Female,67.1,13.7
1943,Historical,Male,62.2,12.1
1944,Historical,Female,67.8,14.1
1944,Historical,Male,62.7,12.5
1945,Historical,Female,68.4,14.4
1945,Historical,Male,62.9,12.6
1946,Historical,Female,69.2,14.6
1946,Historical,Male,64.3,12.9
1947,Historical,Female,69.7,14.5
1947,Historical,Male,64.6,12.6
1948,Historical,Female,70.2,14.7
1948,Historical,Male,64.8,12.7
1949,Historical,Female,70.7,14.9
1949,Historical,Male,65.3,12.8
1950,Historical,Female,71.1,15.1
1950,Historical,Male,65.6,12.8
1951,Historical,Female,71.4,15.2
1951,Historical,Male,65.7,12.8
1952,Historical,Female,71.6,15.3
1952,Historical,Male,65.8,13
1953,Historical,Female,72,15.3
1953,Historical,Male,66,12.9
1954,Historical,Female,72.7,15.7
1954,Historical,Male,66.7,13.2
1955,Historical,Female,72.8,15.6
1955,Historical,Male,66.7,13.1
1956,Historical,Female,72.9,15.7
1956,Historical,Male,66.7,13
1957,Historical,Female,72.7,15.6
1957,Historical,Male,66.5,12.9
1958,Historical,Female,72.9,15.7
1958,Historical,Male,66.6,12.9
1959,Historical,Female,73.2,15.9
1959,Historical,Male,66.8,13.1
1960,Historical,Female,73.2,15.9
1960,Historical,Male,66.7,12.9
1961,Historical,Female,73.6,16.1
1961,Historical,Male,67.1,13.1
1962,Historical,Female,73.5,16
1962,Historical,Male,66.9,12.9
1963,Historical,Female,73.4,16
1963,Historical,Male,66.6,12.7
1964,Historical,Female,73.7,16.3
1964,Historical,Male,66.8,13
1965,Historical,Female,73.8,16.3
1965,Historical,Male,66.8,12.9
1966,Historical,Female,73.9,16.3
1966,Historical,Male,66.7,12.9
1967,Historical,Female,74.3,16.6
1967,Historical,Male,66.9,13
1968,Historical,Female,74.2,16.6
1968,Historical,Male,66.6,12.8
1969,Historical,Female,74.6,16.9
1969,Historical,Male,66.9,13
1970,Historical,Female,74.9,17.1
1970,Historical,Male,67.1,13.1
1971,Historical,Female,75,17.1
1971,Historical,Male,67.4,13.1
1972,Historical,Female,75.2,17.2
1972,Historical,Male,67.4,13.1
1973,Historical,Female,75.5,17.4
1973,Historical,Male,67.6,13.2
1974,Historical,Female,76,17.7
1974,Historical,Male,68.3,13.5
1975,Historical,Female,76.6,18
1975,Historical,Male,68.7,13.7
1976,Historical,Female,76.8,18.1
