permno,adate,qdate,public_date,CAPEI,evm,pe_exi,pe_inc,npm,roa,roe,de_ratio,quick_ratio,sale_nwc,TICKER
12079,12/31/1988,9/30/1989,1/31/1990,6.411,5.543,5.718,5.718,0.039,0.127,0.142,3.682,,,GM
12079,12/31/1989,12/31/1989,2/28/1990,6.981,5.991,7.273,7.273,0.034,0.121,0.121,3.602,,,GM
12079,12/31/1989,12/31/1989,3/31/1990,7.137,5.991,7.435,7.435,0.034,0.121,0.121,3.602,,,GM
12079,12/31/1989,12/31/1989,4/30/1990,6.884,5.991,7.172,7.172,0.034,0.121,0.121,3.602,,,GM
12079,12/31/1989,3/31/1990,5/31/1990,7.575,6.212,10.109,10.109,0.028,0.114,0.098,3.7,,,GM
12079,12/31/1989,3/31/1990,6/30/1990,7.418,6.212,9.901,9.901,0.028,0.114,0.098,3.7,,,GM
12079,12/31/1989,3/31/1990,7/31/1990,7.262,6.212,9.693,9.693,0.028,0.114,0.098,3.7,,,GM
12079,12/31/1989,6/30/1990,8/31/1990,6.248,6.377,10.166,10.166,0.023,0.111,0.081,3.696,,,GM
12079,12/31/1989,6/30/1990,9/30/1990,5.698,6.377,9.271,9.271,0.023,0.111,0.081,3.696,,,GM
12079,12/31/1989,6/30/1990,10/31/1990,5.776,6.377,9.399,9.399,0.023,0.111,0.081,3.696,,,GM
12079,12/31/1989,9/30/1990,11/30/1990,5.995,6.478,-109.38,-109.38,0.003,0.108,0.009,3.786,,,GM
12079,12/31/1989,9/30/1990,12/31/1990,5.628,6.478,-106.25,-103.24,0.003,0.108,0.009,3.786,,,GM
12079,12/31/1989,9/30/1990,1/31/1991,5.935,6.478,-113.28,-113.28,0.003,0.108,0.009,3.786,,,GM
12079,12/31/1990,12/31/1990,2/28/1991,8.867,7.559,-9.658,-9.658,-0.016,0.09,-0.062,4.452,,,GM
12079,12/31/1990,12/31/1990,3/31/1991,8.552,7.559,-9.23,-9.23,-0.016,0.09,-0.062,4.452,,,GM
12079,12/31/1990,12/31/1990,4/30/1991,8.099,7.559,-8.741,-8.741,-0.016,0.09,-0.062,4.452,,,GM
12079,12/31/1990,3/31/1991,5/31/1991,8.732,8.517,-6.707,-7.77,-0.028,0.079,-0.101,4.218,,,GM
12079,12/31/1990,3/31/1991,6/30/1991,8.341,8.517,-6.337,-7.342,-0.028,0.079,-0.101,4.218,,,GM
12079,12/31/1990,3/31/1991,7/31/1991,8.136,8.517,-6.182,-7.162,-0.028,0.079,-0.101,4.218,,,GM
12079,12/31/1990,6/30/1991,8/31/1991,9.165,9.902,-4.153,-4.595,-0.042,0.067,-0.158,4.505,,,GM
12079,12/31/1990,6/30/1991,9/30/1991,9.061,9.902,-4.085,-4.519,-0.042,0.067,-0.158,4.505,,,GM
12079,12/31/1990,6/30/1991,10/31/1991,8.515,9.902,-3.839,-4.247,-0.042,0.067,-0.158,4.505,,,GM
12079,12/31/1990,9/30/1991,11/30/1991,8.84,11.347,-4.105,-4.652,-0.035,0.058,-0.137,4.738,,,GM
