State,Total,Retirement,Survivors,Disability,Aged 65 or older,Year,Table_type
Alabama,"881,978","481,767","99,013","158,760","224,888",2004,Beneficiaries
Alaska,"62,781","37,077","5,115","9,115","18,790",2004,Beneficiaries
Arizona,"893,001","581,471","76,894","114,676","281,047",2004,Beneficiaries
Arkansas,"553,533","314,941","57,778","97,531","148,720",2004,Beneficiaries
California,"4,413,876","2,839,289","408,372","528,551","1,399,144",2004,Beneficiaries
Colorado,"569,257","366,765","54,979","68,814","179,450",2004,Beneficiaries
Connecticut,"583,427","405,529","49,074","62,510","182,636",2004,Beneficiaries
Delaware,"145,825","94,854","13,013","19,454","43,719",2004,Beneficiaries
District of Columbia,"71,905","46,394","6,874","9,408","20,560",2004,Beneficiaries
Florida,"3,384,956","2,298,010","298,235","378,309","1,094,220",2004,Beneficiaries
Georgia,"1,193,857","708,468","120,010","187,938","315,192",2004,Beneficiaries
Hawaii,"197,263","140,474","15,816","17,733","65,444",2004,Beneficiaries
Idaho,"218,155","139,300","20,243","27,268","68,967",2004,Beneficiaries
Illinois,"1,879,051","1,217,013","196,717","212,177","565,011",2004,Beneficiaries
Indiana,"1,046,476","661,266","108,082","134,455","301,642",2004,Beneficiaries
Iowa,"548,297","361,716","59,784","56,603","171,542",2004,Beneficiaries
Kansas,"447,371","292,861","45,943","50,782","137,938",2004,Beneficiaries
Kentucky,"782,816","406,999","92,712","153,214","199,864",2004,Beneficiaries
Louisiana,"740,378","377,296","105,089","110,448","198,297",2004,Beneficiaries
Maine,"266,145","161,159","24,492","44,054","77,135",2004,Beneficiaries
Maryland,"761,210","500,356","74,868","85,940","228,893",2004,Beneficiaries
Massachusetts,"1,063,061","692,180","93,744","145,341","315,930",2004,Beneficiaries
Michigan,"1,722,514","1,064,310","178,872","227,546","498,133",2004,Beneficiaries
Minnesota,"775,460","516,614","76,151","85,475","243,894",2004,Beneficiaries
Mississippi,"541,483","288,318","56,999","102,140","132,335",2004,Beneficiaries
Missouri,"1,046,439","643,450","105,616","152,866","298,459",2004,Beneficiaries
Montana,"166,264","106,254","17,190","19,674","52,835",2004,Beneficiaries
Nebraska,"289,735","189,792","30,320","31,288","90,683",2004,Beneficiaries
Nevada,"339,023","228,660","26,433","43,649","113,104",2004,Beneficiaries
New Hampshire,"215,453","142,013","16,988","29,788","65,089",2004,Beneficiaries
New Jersey,"1,368,734","938,220","124,078","147,400","420,093",2004,Beneficiaries
New Mexico,"302,500","180,887","30,264","41,653","91,007",2004,Beneficiaries
New York,"3,044,526","1,980,921","276,893","387,519","893,672",2004,Beneficiaries
North Carolina,"1,468,751","912,656","131,277","237,928","399,465",2004,Beneficiaries
North Dakota,"114,167","71,590","15,213","10,443","37,294",2004,Beneficiaries
Ohio,"1,945,724","1,197,179","236,235","230,479","585,540",2004,Beneficiaries
Oklahoma,"623,599","381,429","68,713","84,468","181,587",2004,Beneficiaries
Oregon,"603,781","403,089","56,434","71,410","190,662",2004,Beneficiaries
Pennsylvania,"2,400,082","1,552,127","264,122","276,160","718,089",2004,Beneficiaries
Rhode Island,"192,755","128,612","15,243","27,868","55,985",2004,Beneficiaries
South Carolina,"754,531","454,652","70,606","124,796","201,690",2004,Beneficiaries
South Dakota,"139,053","90,248","15,539","13,847","45,147",2004,Beneficiaries
Tennessee,"1,061,981","622,680","111,509","172,995","285,619",2004,Beneficiaries
Texas,"2,859,342","1,707,535","334,245","350,893","854,532",2004,Beneficiaries
Utah,"263,267","171,031","22,754","27,157","84,156",2004,Beneficiaries
Vermont,"109,983","70,630","10,173","14,973","33,244",2004,Beneficiaries
Virginia,"1,114,705","693,505","111,224","156,736","319,720",2004,Beneficiaries
Washington,"911,511","595,562","83,041","115,292","285,116",2004,Beneficiaries
West Virginia,"409,401","207,804","54,587","76,076","107,262",2004,Beneficiaries
Wisconsin,"940,151","629,499","90,892","104,687","291,617",2004,Beneficiaries
Wyoming,"79,998","52,753","7,768","9,134","25,997",2004,Beneficiaries
Alabama,"720,660","439,790","81,193","137,763","232,662",2004,Benefits
Alaska,"51,697","34,094","4,299","8,068","19,314",2004,Benefits
Arizona,"798,042","565,615","71,207","106,047","307,571",2004,Benefits
Arkansas,"443,777","279,916","46,322","82,991","149,157",2004,Benefits
California,"3,880,901","2,720,934","377,491","483,093","1,489,490",2004,Benefits
Colorado,"492,622","343,392","50,171","61,016","190,781",2004,Benefits
Connecticut,"566,162","423,636","49,420","58,202","218,212",2004,Benefits
Delaware,"135,173","95,350","12,491","18,177","49,940",2004,Benefits
District of Columbia,"54,688","38,046","5,111","7,545","18,553",2004,Benefits
Florida,"2,984,641","2,182,745","274,601","337,647","1,172,575",2004,Benefits
Georgia,"1,003,577","656,301","100,369","165,236","333,546",2004,Benefits
Hawaii,"173,611","132,623","13,855","16,379","67,234",2004,Benefits
Idaho,"186,606","129,886","18,480","23,822","73,113",2004,Benefits
Illinois,"1,720,043","1,209,667","189,250","195,349","636,977",2004,Benefits
Indiana,"957,736","663,895","103,297","120,476","345,106",2004,Benefits
Iowa,"482,267","344,577","55,756","48,370","185,762",2004,Benefits
Kansas,"402,042","286,047","43,760","43,993","153,519",2004,Benefits
Kentucky,"631,510","367,305","75,547","134,675","202,139",2004,Benefits
Louisiana,"584,674","335,839","86,613","98,323","200,447",2004,Benefits
Maine,"214,901","142,332","21,095","36,220","77,589",2004,Benefits
Maryland,"681,671","482,959","69,053","79,300","248,895",2004,Benefits
Massachusetts,"943,250","664,804","87,963","128,541","347,231",2004,Benefits
Michigan,"1,610,784","1,094,874","173,539","216,323","579,805",2004,Benefits
Minnesota,"686,494","493,501","70,496","75,471","264,107",2004,Benefits
Mississippi,"420,795","252,750","43,990","85,785","131,186",2004,Benefits
Missouri,"898,446","604,709","94,507","133,504","319,087",2004,Benefits
Montana,"139,868","96,939","15,444","17,004","54,283",2004,Benefits
Nebraska,"250,608","178,230","28,096","26,387","97,009",2004,Benefits
Nevada,"305,632","220,217","24,614","41,433","121,424",2004,Benefits
New Hampshire,"194,723","139,018","16,149","26,959","73,214",2004,Benefits
New Jersey,"1,337,563","988,348","122,705","143,410","501,662",2004,Benefits
New Mexico,"243,286","161,261","25,089","36,014","90,400",2004,Benefits
New York,"2,818,438","1,999,959","261,690","365,614","1,008,128",2004,Benefits
North Carolina,"1,252,446","852,042","108,743","207,490","422,645",2004,Benefits
North Dakota,"93,435","63,722","13,284","8,655","37,367",2004,Benefits
Ohio,"1,718,391","1,159,500","220,281","202,432","645,383",2004,Benefits
Oklahoma,"523,186","349,427","59,397","74,023","187,017",2004,Benefits
Oregon,"541,729","388,839","53,312","64,089","207,358",2004,Benefits
Pennsylvania,"2,174,631","1,525,786","249,893","250,175","805,072",2004,Benefits
Rhode Island,"170,509","122,765","14,104","24,121","61,227",2004,Benefits
South Carolina,"639,877","423,844","57,947","110,563","214,394",2004,Benefits
South Dakota,"112,608","79,451","13,259","11,353","44,671",2004,Benefits
Tennessee,"889,019","577,995","93,470","148,532","300,493",2004,Benefits
Texas,"2,401,438","1,586,502","290,498","311,143","895,072",2004,Benefits
Utah,"230,988","164,516","21,596","23,959","93,129",2004,Benefits
Vermont,"95,312","67,016","9,149","12,659","35,606",2004,Benefits
Virginia,"959,978","651,004","96,162","141,028","339,078",2004,Benefits
Washington,"834,585","591,560","79,953","104,366","319,737",2004,Benefits
West Virginia,"345,363","195,972","47,002","71,512","112,654",2004,Benefits
Wisconsin,"853,219","616,986","86,524","93,287","324,764",2004,Benefits
Wyoming,"70,609","50,193","7,218","8,148","28,054",2004,Benefits
Alabama,"903,569","492,491","97,546","169,639","229,301",2005,Beneficiaries
Alaska,"64,843","38,643","5,115","9,599","19,531",2005,Beneficiaries
Arizona,"922,932","602,398","76,922","122,290","289,918",2005,Beneficiaries
Arkansas,"566,219","321,160","56,799","104,020","151,453",2005,Beneficiaries
California,"4,463,873","2,875,626","401,690","551,428","1,414,273",2005,Beneficiaries
Colorado,"584,556","378,990","54,732","72,396","184,298",2005,Beneficiaries
Connecticut,"585,199","407,045","47,901","64,734","182,419",2005,Beneficiaries
Delaware,"150,101","97,950","12,846","20,664","44,764",2005,Beneficiaries
District of Columbia,"71,376","46,064","6,516","9,722","20,538",2005,Beneficiaries
Florida,"3,430,205","2,331,733","293,430","396,450","1,106,783",2005,Beneficiaries
Georgia,"1,233,238","736,664","119,680","197,015","326,913",2005,Beneficiaries
Hawaii,"200,743","143,424","15,735","18,514","66,245",2005,Beneficiaries
Idaho,"226,250","144,936","20,389","29,291","71,346",2005,Beneficiaries
Illinois,"1,893,055","1,227,354","192,211","221,861","568,532",2005,Beneficiaries
Indiana,"1,063,854","672,315","106,184","141,821","305,909",2005,Beneficiaries
Iowa,"552,294","365,387","58,301","59,460","172,521",2005,Beneficiaries
Kansas,"452,119","296,145","44,903","53,507","138,781",2005,Beneficiaries
Kentucky,"797,660","415,727","91,329","160,122","203,920",2005,Beneficiaries
Louisiana,"715,127","368,496","99,457","108,767","193,954",2005,Beneficiaries
Maine,"270,706","163,965","24,111","46,155","78,007",2005,Beneficiaries
Maryland,"771,357","508,682","72,922","90,608","231,781",2005,Beneficiaries
Massachusetts,"1,066,962","693,001","91,158","152,027","315,969",2005,Beneficiaries
Michigan,"1,748,668","1,083,034","175,133","239,170","503,897",2005,Beneficiaries
Minnesota,"787,377","526,639","74,473","89,801","247,277",2005,Beneficiaries
Mississippi,"549,376","292,620","55,890","106,614","133,810",2005,Beneficiaries
Missouri,"1,063,174","653,609","103,619","161,203","302,340",2005,Beneficiaries
Montana,"169,375","109,049","16,973","20,526","54,106",2005,Beneficiaries
Nebraska,"291,980","191,931","29,668","32,804","91,066",2005,Beneficiaries
Nevada,"346,345","234,284","26,354","45,203","115,782",2005,Beneficiaries
New Hampshire,"220,796","145,126","16,792","31,971","66,460",2005,Beneficiaries
New Jersey,"1,375,796","942,992","120,645","153,624","420,843",2005,Beneficiaries
New Mexico,"311,468","186,639","30,070","45,209","93,531",2005,Beneficiaries
New York,"3,062,046","1,991,618","269,766","403,342","896,370",2005,Beneficiaries
North Carolina,"1,509,687","940,891","130,132","249,761","410,461",2005,Beneficiaries
North Dakota,"114,712","72,329","14,936","10,929","37,307",2005,Beneficiaries
Ohio,"1,960,946","1,207,381","231,537","241,961","588,040",2005,Beneficiaries
Oklahoma,"635,619","388,090","67,407","90,903","184,189",2005,Beneficiaries
Oregon,"618,624","414,216","55,964","75,372","195,316",2005,Beneficiaries
Pennsylvania,"2,419,005","1,561,281","257,394","292,978","719,224",2005,Beneficiaries
Rhode Island,"192,829","128,395","14,799","28,824","55,725",2005,Beneficiaries
South Carolina,"778,480","471,731","70,451","131,038","208,894",2005,Beneficiaries
South Dakota,"140,773","92,131","15,259","14,419","45,831",2005,Beneficiaries
Tennessee,"1,089,649","641,443","110,307","181,735","293,242",2005,Beneficiaries
Texas,"2,952,230","1,758,929","333,251","383,487","877,494",2005,Beneficiaries
Utah,"273,045","177,447","22,847","29,729","86,763",2005,Beneficiaries
Vermont,"112,251","72,248","10,008","15,834","33,799",2005,Beneficiaries
Virginia,"1,139,748","710,014","109,437","165,963","326,567",2005,Beneficiaries
Washington,"937,531","613,620","82,390","123,159","292,501",2005,Beneficiaries
West Virginia,"414,053","210,421","53,333","79,524","108,582",2005,Beneficiaries
Wisconsin,"953,581","639,221","89,370","110,353","294,553",2005,Beneficiaries
Wyoming,"81,495","53,912","7,634","9,574","26,504",2005,Beneficiaries
Alabama,"777,620","473,244","84,212","154,717","250,851",2005,Benefits
Alaska,"56,045","37,129","4,511","8,876","21,074",2005,Benefits
Arizona,"867,777","615,832","74,894","118,660","334,439",2005,Benefits
Arkansas,"477,545","300,465","47,904","92,750","160,501",2005,Benefits
California,"4,115,426","2,886,025","389,333","528,314","1,578,636",2005,Benefits
Colorado,"532,857","372,939","52,548","67,502","206,577",2005,Benefits
Connecticut,"595,943","445,950","50,650","63,176","228,816",2005,Benefits
Delaware,"146,486","103,540","12,981","20,326","53,896",2005,Benefits
District of Columbia,"57,223","39,824","5,124","8,145","19,496",2005,Benefits
Florida,"3,178,953","2,325,523","283,486","372,089","1,247,501",2005,Benefits
Georgia,"1,092,338","717,923","105,496","182,022","365,160",2005,Benefits
Hawaii,"185,730","142,066","14,490","17,938","71,556",2005,Benefits
Idaho,"203,446","141,849","19,548","26,813","79,714",2005,Benefits
Illinois,"1,815,500","1,277,133","193,906","213,759","672,348",2005,Benefits
Indiana,"1,021,925","708,538","106,626","133,228","368,562",2005,Benefits
Iowa,"510,152","365,114","57,126","53,340","196,603",2005,Benefits
Kansas,"426,598","303,513","44,906","48,794","162,441",2005,Benefits
Kentucky,"676,681","394,331","78,230","147,397","217,582",2005,Benefits
Louisiana,"597,785","345,543","86,361","102,437","207,274",2005,Benefits
Maine,"229,781","152,034","21,840","39,897","82,664",2005,Benefits
Maryland,"726,689","516,057","70,674","87,595","265,265",2005,Benefits
Massachusetts,"993,875","698,654","89,902","140,970","365,178",2005,Benefits
Michigan,"1,717,188","1,169,604","178,490","237,688","617,644",2005,Benefits
Minnesota,"733,954","529,407","72,525","83,233","282,647",2005,Benefits
Mississippi,"450,024","270,146","45,469","94,057","140,302",2005,Benefits
Missouri,"958,344","644,883","97,395","147,408","340,439",2005,Benefits
Montana,"149,740","104,191","16,007","18,615","58,481",2005,Benefits
Nebraska,"265,456","189,273","28,853","29,011","102,642",2005,Benefits
Nevada,"327,918","236,720","25,735","45,003","130,757",2005,Benefits
