public_date,FFI30_desc,CAPEI_Mean,evm_Mean,pe_exi_Mean,pe_inc_Mean,npm_Mean,de_ratio_Mean,quick_ratio_Mean,sale_nwc_Mean
1990-01-31,AUTOS,2.232,1.318,4.660,9.720,-1.620,2.202,2.131,9.172
1990-01-31,BEER,30.905,7.700,18.060,17.877,0.059,1.365,1.059,78.680
1990-01-31,BOOKS,30.435,5.063,6.380,11.065,-0.006,1.188,1.931,10.765
1990-01-31,BUSEQ,-4.136,1.437,5.640,4.840,-0.316,1.413,2.220,5.978
1990-01-31,CARRY,3.126,15.929,-2.623,-5.214,-0.037,1.331,1.639,20.640
1990-01-31,CHEMS,13.623,5.815,11.780,7.692,-0.099,2.810,1.474,8.028
1990-01-31,CLTHS,5.884,0.628,15.682,13.434,-0.093,1.354,1.592,7.346
1990-01-31,CNSTR,6.267,5.834,7.186,2.977,-0.128,1.981,1.704,12.550
1990-01-31,COAL,20.666,-17.152,12.273,12.417,-0.042,-3.773,2.492,9.369
1990-01-31,ELCEQ,-51.169,7.349,5.323,3.678,0.001,1.645,1.522,5.730
1990-01-31,FABPR,46.347,-1.930,9.536,9.031,-5.248,1.049,1.728,7.087
1990-01-31,FIN,6.709,-12.410,8.108,8.500,-0.288,9.246,4.919,41.282
1990-01-31,FOOD,19.628,8.115,12.761,11.429,-0.143,2.064,1.924,21.941
1990-01-31,GAMES,10.348,7.396,11.683,9.027,-0.765,3.907,1.750,8.194
1990-01-31,HLTH,169.279,-2.272,8.143,5.783,-7.874,1.022,3.790,8.666
1990-01-31,HSHLD,17.847,-23.577,9.511,9.473,-0.174,1.764,1.458,6.525
1990-01-31,MEALS,9.778,-106.61,5.068,5.790,-0.060,2.726,0.880,73.701
1990-01-31,MINES,1980.54,-374.16,4.520,-0.040,-0.428,0.592,3.288,6.384
1990-01-31,OIL,22.185,15.056,9.719,8.308,0.657,1.123,3.974,10.007
1990-01-31,OTHER,25.530,2.674,18.629,18.398,-0.221,20.208,2.012,17.612
1990-01-31,PAPER,9.950,6.213,11.600,10.123,0.044,1.095,1.810,7.924
1990-01-31,RTAIL,54.486,-7.489,11.694,8.957,-0.012,2.425,1.708,17.816
1990-01-31,SERVS,19.042,5.762,11.925,9.040,-1.194,2.304,3.169,10.987
1990-01-31,SMOKE,17.421,7.896,-17.060,0.153,0.099,2.129,1.187,7.199
