"","public_date","FFI30_desc","Shillers Cyclically Adjusted P/E Ratio","Enterprise Value Multiple","P/E (Diluted, Excl. EI)","P/E (Diluted, Incl. EI)","Net Profit Margin","Total Debt/Equity","Quick Ratio (Acid Test)","Sales/Working Capital","Return on Assets","Return on Equity"
"1",1990-01-31,"AUTOS",2.232,1.318,4.66,9.72,-1.62,2.202,2.131,9.172,0.123,0.009
"2",1990-02-28,"AUTOS",37.642,5.297,6.979,10.225,-1.722,1.53,2.481,178.514,0.101,-1.224
"3",1990-03-31,"AUTOS",52.87,8.335,6.211,11.156,-1.722,1.537,2.481,178.975,0.093,1.858
"4",1990-04-30,"AUTOS",58.201,8.719,5.925,11.355,-1.723,1.536,2.482,178.936,0.092,1.857
"5",1990-05-31,"AUTOS",23.196,5.164,8.142,11.227,-1.733,1.317,2.455,6.56,0.078,2.696
"6",1990-06-30,"AUTOS",14.572,5.286,12.246,14.027,-0.539,1.302,1.577,6.852,0.086,0.521
"7",1990-07-31,"AUTOS",15.469,5.477,11.071,13.208,-0.542,1.28,1.599,6.86,0.092,0.547
"8",1990-08-31,"AUTOS",15.274,2.748,8.925,12.146,-0.534,1.541,1.563,8.046,0.085,0.591
"9",1990-09-30,"AUTOS",10.817,3.099,4.968,7.809,-0.154,1.467,1.484,7.811,0.087,-0.16
"10",1990-10-31,"AUTOS",10.268,3.218,4.032,7.513,-0.153,1.424,1.502,6.423,0.091,-0.15
"11",1990-11-30,"AUTOS",9.322,3.422,0.288,5.007,-4.629,1.124,1.537,6.152,0.084,-0.14
"12",1990-12-31,"AUTOS",7.716,3.857,0.267,4.631,-4.623,0.962,1.491,6.219,0.072,-0.132
"13",1991-01-31,"AUTOS",9.144,3.859,0.315,4.656,-4.624,0.962,1.482,6.172,0.072,-0.132
"14",1991-02-28,"AUTOS",11.134,-0.727,10.545,10.523,-4.559,2.579,1.422,6.848,0.067,0.023
"15",1991-03-31,"AUTOS",11.982,-0.846,11.767,11.763,-4.556,2.808,1.426,8.275,0.062,-0.024
"16",1991-04-30,"AUTOS",11.957,-0.737,12.516,12.586,-4.563,2.803,1.454,6.952,0.087,0.017
"17",1991-05-31,"AUTOS",8.726,10.028,5.946,5.028,-4.572,1.814,1.516,6.356,0.077,-0.005
"18",1991-06-30,"AUTOS",10.242,16.869,8.193,7.739,-4.501,1.746,1.507,6.666,0.077,-0.012
"19",1991-07-31,"AUTOS",12.447,13.31,10.132,9.354,-4.569,1.713,1.523,6.632,0.078,0.002
"20",1991-08-31,"AUTOS",13.405,21.028,19.529,16.606,-0.155,1.757,1.353,7.096,0.068,-0.035
"21",1991-09-30,"AUTOS",11.635,7.755,20.138,16.912,-0.156,2.086,1.343,7.191,0.066,-0.046
"22",1991-10-31,"AUTOS",10.856,7.752,21.632,18.66,-0.157,2.086,1.344,7.211,0.066,-0.046
"23",1991-11-30,"AUTOS",11.51,6.504,17.243,22.075,-0.132,2.106,1.451,7.592,0.075,-0.046
"24",1991-12-31,"AUTOS",44.738,8.807,15.619,20.724,-0.13,2.044,1.443,9.541,0.078,-0.051
"25",1992-01-31,"AUTOS",62.878,8.34,17.547,22.954,-0.123,2.041,1.463,9.363,0.046,-0.037
"26",1992-02-29,"AUTOS",89.772,4.858,13.29,14.195,-0.12,14.035,1.352,9.006,0.078,-0.048
"27",1992-03-31,"AUTOS",21.781,23.986,13.476,15.185,-0.12,14.135,1.354,20.715,0.077,-0.053
"28",1992-04-30,"AUTOS",21.28,21.828,13.558,15.113,-0.119,14.266,1.356,20.489,0.082,-0.032
"29",1992-05-31,"AUTOS",19.205,18.129,12.623,4.716,-0.11,1.909,1.391,20.144,0.102,-216.43
"30",1992-06-30,"AUTOS",15.56,10.037,9.948,2.488,-0.111,2.988,1.386,7.539,0.102,-216.44
"31",1992-07-31,"AUTOS",15.452,13.417,9.848,2.26,-0.109,2.983,1.382,7.671,0.104,-213.14
"32",1992-08-31,"AUTOS",12.948,28.043,11.534,7.52,-0.099,3.054,1.474,7.452,0.109,-21.035
"33",1992-09-30,"AUTOS",11.041,18.164,13.248,10.179,-0.1,1.962,1.479,8.053,0.109,-21.023
"34",1992-10-31,"AUTOS",12.289,18.151,12.826,10.817,-0.094,1.794,1.491,7.639,0.121,-21.315
"35",1992-11-30,"AUTOS",18.724,3.729,11.414,0.979,-0.032,2.166,1.445,6.331,0.12,-8.563
"36",1992-12-31,"AUTOS",22.494,6.717,11.829,0.625,-0.031,2.13,1.47,6.434,0.122,-8.563
"37",1993-01-31,"AUTOS",24.458,6.488,18.685,2.297,-0.03,2.14,1.478,6.885,0.125,-8.441
"38",1993-02-28,"AUTOS",8.352,8.594,14.749,25.208,-0.018,1.934,1.497,7.901,0.135,0.076
"39",1993-03-31,"AUTOS",17.506,8.226,15.369,25.95,-0.017,1.826,1.487,7.837,0.134,0.078
"40",1993-04-30,"AUTOS",9.37,7.903,13.137,26.78,-0.018,1.623,1.467,8.207,0.132,0.079
"41",1993-05-31,"AUTOS",19.518,7.523,14.232,16.503,-0.016,2.642,1.456,13.551,0.131,-0.051
"42",1993-06-30,"AUTOS",197.233,6.334,14.539,15.87,-0.016,2.559,1.462,13.552,0.131,-0.049
"43",1993-07-31,"AUTOS",236.655,6.335,14.756,16.104,-0.016,2.556,1.462,13.559,0.131,-0.049
"44",1993-08-31,"AUTOS",241.404,6.269,11.414,11.663,-0.021,1.874,1.458,6.94,0.135,0.037
"45",1993-09-30,"AUTOS",16.417,8.093,11.899,14.088,-0.02,1.857,1.443,7.862,0.135,0.004
"46",1993-10-31,"AUTOS",16.246,7.951,11.164,13.633,-0.019,1.833,1.424,25.278,0.136,0.007
"47",1993-11-30,"AUTOS",30.722,54.532,11.816,11.628,-0.013,1.505,1.391,9.485,0.137,0.043
"48",1993-12-31,"AUTOS",31.091,55.073,17.775,16.87,-0.014,-3.731,1.368,8.649,0.139,0.071
"49",1994-01-31,"AUTOS",33.51,54.989,18.269,16.354,-0.013,-3.789,1.368,8.655,0.14,0.069
"50",1994-02-28,"AUTOS",39.726,10.865,20.569,20.073,-0.028,1.72,1.408,10.002,0.142,0.154
"51",1994-03-31,"AUTOS",35.372,8.612,15.906,16.805,-0.025,3.156,1.401,10.93,0.148,0.204
"52",1994-04-30,"AUTOS",34.587,8.532,15.943,16.793,-0.024,3.08,1.411,10.825,0.149,0.2
