public_date,FFI30_desc,roa_Mean,roe_Mean
1990-01-31,AUTOS,0.123,0.009
1990-01-31,BEER,0.123,0.059
1990-01-31,BOOKS,0.131,-0.384
1990-01-31,BUSEQ,0.020,0.259
1990-01-31,CARRY,0.078,-0.240
1990-01-31,CHEMS,0.106,-0.073
1990-01-31,CLTHS,0.114,0.848
1990-01-31,CNSTR,0.079,0.615
1990-01-31,COAL,0.112,0.059
1990-01-31,ELCEQ,0.112,-0.008
1990-01-31,FABPR,0.069,-0.002
1990-01-31,FIN,0.032,0.222
1990-01-31,FOOD,0.099,-0.130
1990-01-31,GAMES,0.088,-0.585
1990-01-31,HLTH,-0.076,-0.500
1990-01-31,HSHLD,0.085,0.139
1990-01-31,MEALS,0.121,-0.010
1990-01-31,MINES,0.042,0.566
1990-01-31,OIL,0.062,0.200
1990-01-31,OTHER,0.094,-0.118
1990-01-31,PAPER,0.171,0.079
1990-01-31,RTAIL,0.120,0.312
1990-01-31,SERVS,0.044,1.613
1990-01-31,SMOKE,0.231,0.228
1990-01-31,STEEL,0.142,-0.118
1990-01-31,TELCM,0.049,0.795
1990-01-31,TRANS,0.122,-0.092
1990-01-31,TXTLS,0.131,0.067
1990-01-31,UTIL,0.120,0.079
1990-01-31,WHLSL,0.066,-0.269
1990-02-28,AUTOS,0.101,-1.224
1990-02-28,BEER,0.122,0.055
1990-02-28,BOOKS,0.122,0.001
1990-02-28,BUSEQ,0.019,0.024
1990-02-28,CARRY,0.088,-0.100
1990-02-28,CHEMS,0.091,-0.070
1990-02-28,CLTHS,0.093,0.419
1990-02-28,CNSTR,0.080,0.237
1990-02-28,COAL,0.098,0.006
1990-02-28,ELCEQ,0.071,-0.064
1990-02-28,FABPR,0.066,-0.038
1990-02-28,FIN,0.041,0.018
1990-02-28,FOOD,0.094,-0.089
1990-02-28,GAMES,0.088,-0.648
1990-02-28,HLTH,-0.084,0.292
1990-02-28,HSHLD,0.086,0.203
1990-02-28,MEALS,0.108,-0.156
1990-02-28,MINES,0.018,-0.130
1990-02-28,OIL,0.074,-0.036
1990-02-28,OTHER,0.107,-0.139
1990-02-28,PAPER,0.164,0.086
1990-02-28,RTAIL,0.115,0.315
1990-02-28,SERVS,0.044,-0.130
1990-02-28,SMOKE,0.240,0.227
1990-02-28,STEEL,0.130,0.044
1990-02-28,TELCM,0.049,1.142
1990-02-28,TRANS,0.107,-0.296
1990-02-28,TXTLS,0.134,-0.210
1990-02-28,UTIL,0.119,0.077
1990-02-28,WHLSL,0.062,-0.268
1990-03-31,AUTOS,0.093,1.858
1990-03-31,BEER,0.126,0.016
1990-03-31,BOOKS,0.122,-0.001
1990-03-31,BUSEQ,0.019,0.006
1990-03-31,CARRY,0.091,-0.111
1990-03-31,CHEMS,0.089,-0.073
1990-03-31,CLTHS,0.098,0.040
1990-03-31,CNSTR,0.085,0.237
1990-03-31,COAL,0.098,0.006
1990-03-31,ELCEQ,0.073,-0.062
1990-03-31,FABPR,0.066,-0.299
1990-03-31,FIN,0.042,0.019
1990-03-31,FOOD,0.094,-0.089
1990-03-31,GAMES,0.086,-0.732
1990-03-31,HLTH,-0.085,-0.344
1990-03-31,HSHLD,0.092,0.205
1990-03-31,MEALS,0.105,-0.166
1990-03-31,MINES,0.015,-0.135
1990-03-31,OIL,0.074,-0.037
1990-03-31,OTHER,0.114,-0.152
1990-03-31,PAPER,0.164,0.086
1990-03-31,RTAIL,0.109,0.352
1990-03-31,SERVS,0.047,-0.102
1990-03-31,SMOKE,0.240,0.227
1990-03-31,STEEL,0.129,0.042
1990-03-31,TELCM,0.049,1.127
1990-03-31,TRANS,0.109,-0.300
